time_period,area_id,lat,lon,population,traffic,green_space,crime_rate,avg_income,public_transport_access,air_quality_index,housing_density,commercial_area_percentage,healthcare_facilities,education_facilities,energy_consumption,water_usage,waste_generation,internet_connectivity,elderly_population_percentage
0,1,40.74908023769473,-73.04928569359008,77820,5834,13.929149832754144,0.9997491581800289,117498,86.61761457749351,120.22300234864176,710.9918520180851,5.92630224331111,2,24,849.1983767203795,145.55259980522428,26.364247048639054,67.33618039413736,12.606056073988443
0,2,41.049512863264475,-73.56805498135789,26658,2658,5.045321958909213,2.9214464853521815,89150,45.606998421703594,157.03519227860272,207.67704433677613,28.140549728612523,3,5,646.7903667112945,126.73585565928119,15.854643368675156,97.95542149013333,29.140800826863984
0,3,41.61679469623292,-73.69538623082663,69148,7141,20.84275776885255,4.4015249373960135,78555,49.51769101112702,6.877704223043679,910.2271980579942,16.645099172000762,8,4,380.53996848046984,284.0306095300149,59.203925140895166,67.39417822102108,29.239615694113965
0,4,41.55026564672223,-73.0605010584358,93093,1095,18.339099385521468,9.218742350231167,124663,57.04439744053994,104.16685200516473,961.5603041058556,43.00402319051681,13,18,585.7229191501717,314.0380245487317,96.87297765377242,84.2813699074674,11.899979550563584
0,5,40.592547011408165,-73.834733060937,49984,8106,13.278642940484719,3.9488151817556973,32695,0.5522117123602399,163.09228569096683,709.788770409141,37.80532256184443,1,27,166.64018656068134,211.30957784492267,20.428215357261674,94.52413703502374,20.58245317068895
0,6,40.6617960497053,-73.93644164971397,36222,9096,22.158579171803858,6.3755747135521315,54538,56.12434258477011,76.58537495075797,971.9949744352127,43.20112209197377,5,26,312.38642777406017,165.2307452425958,13.639023058458822,88.4265155874315,7.772270520295783
0,7,40.87867300373154,-73.7982807976646,51015,2890,14.78573647228124,5.6327557197638365,117939,90.7566473926093,49.858445829774986,416.2790938052734,38.99980123443719,4,13,169.2819188459137,180.38815381119562,24.5099158528604,97.18790609370292,25.203009489110425
0,8,41.266807513020844,-73.12853940981228,96259,3727,13.07878848824062,8.832802589188683,48047,80.74401551640625,179.21825998469865,324.8234402221452,9.952336603745454,13,9,374.30313234222615,124.09513391432378,58.068047743789776,79.39319885435933,22.31090082225676
0,9,40.53882466759704,-73.75587447775223,74530,1595,21.38754980796016,3.63629602379294,76576,25.39154139343447,49.37521256772024,699.3412301113905,37.05217654659989,5,17,997.9664365440477,170.05145642387825,97.89534602493876,76.44148053272926,5.82626832251371
0,10,40.69014249605337,-73.36564865529864,47717,5349,16.397102916196957,4.477831645730916,56309,24.20552715115004,134.4271094811757,764.0034191754304,15.693689479657985,6,24,523.2705710014345,492.54041340267935,45.894199820009774,92.65727492877537,24.958628124613778
